index,label,start_frame,end_frame,boundary_reason,duration_s,confidence,mean_speed_xy_mps,mean_abs_height_rate_mps,mean_height_rate_mps,net_height_change_m,mean_hip_knee_speed_radps,exported,output_file
35,stairs_down,1353,1456,hard_jump,2.06000000,1.00000000,0.46019574,0.23519330,-0.23519330,-0.58093417,1.33899895,True,stairs_down/stairs_down_0005_f001353-001456_retargetted.npz
36,stairs_down,1456,1530,hard_jump,1.48000000,1.00000000,0.61654884,0.30933390,-0.30933390,-0.54396296,1.75575045,True,stairs_down/stairs_down_0006_f001456-001530_retargetted.npz
37,stairs_down,1530,1593,hard_jump,1.26000000,1.00000000,0.77127811,0.33308176,-0.33308176,-0.51435024,2.14339734,True,stairs_down/stairs_down_0007_f001530-001593_retargetted.npz
38,stairs_down,1593,1676,hard_jump,1.66000000,1.00000000,0.45401081,0.21928890,-0.21928890,-0.41961753,1.41176234,True,stairs_down/stairs_down_0008_f001593-001676_retargetted.npz
39,stairs_down,1676,1776,hard_jump,2.00000000,1.00000000,0.39823321,0.20224850,-0.20224850,-0.47261000,1.03103062,True,stairs_down/stairs_down_0009_f001676-001776_retargetted.npz
40,stairs_up,1776,1927,hard_jump,3.02000000,1.00000000,0.39154102,0.18051245,0.18051245,0.58499968,1.08275766,True,stairs_up/stairs_up_0001_f001776-001927_retargetted.npz
41,stairs_up,1927,2104,hard_jump,3.54000000,1.00000000,0.37191274,0.15015347,0.15015347,0.57966346,1.08109686,True,stairs_up/stairs_up_0002_f001927-002104_retargetted.npz
42,stairs_up,2104,2274,hard_jump,3.40000000,1.00000000,0.35598467,0.16114985,0.16114985,0.59777343,1.08845542,True,stairs_up/stairs_up_0003_f002104-002274_retargetted.npz
43,stairs_up,2274,2451,hard_jump,3.54000000,1.00000000,0.39727093,0.15800971,0.15724461,0.58926463,1.10614542,True,stairs_up/stairs_up_0004_f002274-002451_retargetted.npz
44,stairs_up,2451,2628,hard_jump,3.54000000,1.00000000,0.39459124,0.15259206,0.15259206,0.58784652,0.99481559,True,stairs_up/stairs_up_0005_f002451-002628_retargetted.npz
45,stairs_up,2628,2742,hard_jump,2.28000000,1.00000000,0.58105303,0.22732060,0.22732060,0.57480431,1.46495096,True,stairs_up/stairs_up_0006_f002628-002742_retargetted.npz
46,stairs_up,2742,2864,hard_jump,2.44000000,1.00000000,0.64707287,0.24277652,0.24277652,0.62301737,1.56642407,True,stairs_up/stairs_up_0007_f002742-002864_retargetted.npz
47,stairs_up,2864,2975,hard_jump,2.22000000,1.00000000,0.60574029,0.23377224,0.23377224,0.57367623,1.56260920,True,stairs_up/stairs_up_0008_f002864-002975_retargetted.npz
48,stand,2975,3441,hard_jump,9.32000000,0.98003244,0.00293616,0.00067281,-0.00059213,-0.00695938,0.00466614,True,stand/stand_0001_f002975-003441_retargetted.npz
49,walk,3441,3920,state_change,9.58000000,0.99853777,0.26850291,0.00476094,0.00017547,0.00855190,0.62154401,True,walk/walk_0001_f003441-003920_retargetted.npz
50,walk,3920,4400,max_duration,9.60000000,0.99911825,0.49935496,0.00475124,0.00010581,0.00657308,0.92367520,True,walk/walk_0002_f003920-004400_retargetted.npz
51,walk,4400,4879,max_duration,9.58000000,0.99230721,0.73526769,0.00531840,-0.00092313,-0.00613785,1.20372297,True,walk/walk_0003_f004400-004879_retargetted.npz
52,walk,4879,5358,max_duration,9.58000000,0.99212161,1.01294206,0.00905536,-0.00094541,-0.01355386,1.55865539,True,walk/walk_0004_f004879-005358_retargetted.npz
53,walk,5358,5837,max_duration,9.58000000,0.99124762,1.55183700,0.01635667,-0.00105029,-0.01584035,2.18308045,True,walk/walk_0005_f005358-005837_retargetted.npz
54,walk,5837,6317,max_duration,9.60000000,0.99961463,1.50273622,0.01184766,-0.00004624,-0.01642656,2.05518674,True,walk/walk_0006_f005837-006317_retargetted.npz
55,walk,6317,6796,max_duration,9.58000000,0.98258918,1.21360410,0.00930592,0.00208930,0.01533353,1.77058482,True,walk/walk_0007_f006317-006796_retargetted.npz
56,walk,6796,7227,hard_jump,8.62000000,0.91651728,0.14536911,0.00735903,0.00018818,-0.00440872,0.58531957,True,walk/walk_0008_f006796-007227_retargetted.npz
57,walk,7227,7659,max_duration,8.64000000,0.99793705,0.16504620,0.00973085,-0.00024755,-0.00093925,0.74978341,True,walk/walk_0009_f007227-007659_retargetted.npz
58,walk,7659,8090,max_duration,8.62000000,0.99605622,0.17844035,0.01195710,0.00047325,0.01517433,0.88628151,True,walk/walk_0010_f007659-008090_retargetted.npz
59,walk,8090,8522,max_duration,8.64000000,0.99752699,0.15518265,0.00409929,0.00029676,-0.00602591,0.74004672,True,walk/walk_0011_f008090-008522_retargetted.npz
60,walk,8522,8953,max_duration,8.62000000,0.90753230,0.13642457,0.00335845,-0.00102966,-0.01024181,0.58255794,True,walk/walk_0012_f008522-008953_retargetted.npz
61,stand,8953,9208,state_change,5.10000000,0.93537869,0.00846264,0.00341242,0.00132954,0.01210785,0.02307267,True,stand/stand_0002_f008953-009208_retargetted.npz
62,walk,9208,9667,state_change,9.18000000,0.89700343,0.14080855,0.00718050,0.00000966,0.00838834,0.55591750,True,walk/walk_0013_f009208-009667_retargetted.npz
63,walk,9667,10125,max_duration,9.16000000,0.99899623,0.16449102,0.00879756,-0.00012045,-0.00248396,0.74232202,True,walk/walk_0014_f009667-010125_retargetted.npz
64,walk,10125,10584,max_duration,9.18000000,0.99634329,0.17601953,0.01098106,0.00043881,-0.01453698,0.87743748,True,walk/walk_0015_f010125-010584_retargetted.npz
65,walk,10584,11042,max_duration,9.16000000,0.99961441,0.15686719,0.00424826,-0.00004627,0.00237864,0.73692557,True,walk/walk_0016_f010584-011042_retargetted.npz
66,walk,11042,11501,max_duration,9.18000000,0.90546658,0.13386272,0.00321099,-0.00054411,-0.00386924,0.57400116,True,walk/walk_0017_f011042-011501_retargetted.npz
67,stand,11501,11732,state_change,4.62000000,0.91405261,0.01403427,0.00292951,0.00025398,0.00513309,0.02736331,True,stand/stand_0003_f011501-011732_retargetted.npz
68,walk,11732,12215,state_change,9.66000000,0.99754676,0.74322072,0.01621365,-0.00029439,0.00242198,1.30183536,True,walk/walk_0018_f011732-012215_retargetted.npz
69,walk,12215,12699,max_duration,9.68000000,0.99348389,0.36386297,0.00746573,0.00078193,0.00675684,0.96003475,True,walk/walk_0019_f012215-012699_retargetted.npz
70,walk,12699,13182,max_duration,9.66000000,0.99489120,0.42632897,0.01250066,-0.00061306,-0.00528991,0.91432464,True,walk/walk_0020_f012699-013182_retargetted.npz
71,walk,13182,13665,max_duration,9.66000000,0.99628631,0.37122824,0.00584039,0.00044564,0.00036383,1.00778028,True,walk/walk_0021_f013182-013665_retargetted.npz
72,walk,13665,14149,max_duration,9.68000000,0.99641187,0.39725269,0.00421024,0.00043058,0.00142288,0.93850116,True,walk/walk_0022_f013665-014149_retargetted.npz
73,walk,14149,14632,max_duration,9.66000000,0.99833585,0.24484821,0.00805952,-0.00019970,0.00298280,0.64122951,True,walk/walk_0023_f014149-014632_retargetted.npz
74,walk,14632,15115,max_duration,9.66000000,0.99515663,0.29589975,0.00804462,0.00058120,0.00024772,0.74414962,True,walk/walk_0024_f014632-015115_retargetted.npz
75,walk,15115,15599,max_duration,9.68000000,0.98565416,0.68118793,0.01226829,-0.00172150,-0.03251940,1.24471977,True,walk/walk_0025_f015115-015599_retargetted.npz
76,walk,15599,16082,max_duration,9.66000000,0.99744277,0.78449166,0.01051752,0.00030687,0.02665591,1.38373748,True,walk/walk_0026_f015599-016082_retargetted.npz
77,walk,16082,16565,max_duration,9.66000000,0.99663002,0.54676783,0.00593636,0.00040440,-0.00614107,1.12629670,True,walk/walk_0027_f016082-016565_retargetted.npz
78,walk,16565,17049,max_duration,9.68000000,0.98483563,0.61440265,0.00782130,-0.00181972,-0.02362138,1.18713861,True,walk/walk_0028_f016565-017049_retargetted.npz
79,walk,17049,17532,max_duration,9.66000000,0.98034878,1.02417605,0.01319827,0.00235815,0.02738327,1.68027617,True,walk/walk_0029_f017049-017532_retargetted.npz
80,walk,17532,18015,max_duration,9.66000000,0.99088051,0.70042037,0.01010280,-0.00109434,-0.01998788,1.25574832,True,walk/walk_0030_f017532-018015_retargetted.npz
81,walk,18015,18499,max_duration,9.68000000,0.98912642,0.70294263,0.00725397,0.00130483,0.02069515,1.21707265,True,walk/walk_0031_f018015-018499_retargetted.npz
82,walk,18499,18982,max_duration,9.66000000,0.99204103,0.25686270,0.00718512,-0.00095508,-0.00329381,0.68559045,True,walk/walk_0032_f018499-018982_retargetted.npz
